Date,Close,High,Low,Open,Volume
2023-09-14,3367.115478515625,3402.724969170952,3353.448632941184,3376.573535094419,2604721
2023-09-15,3403.29248046875,3411.8520676923513,3369.385255912165,3374.4927449137253,2952897
2023-09-18,3410.716552734375,3423.1540341202676,3381.49125393767,3386.0311667076244,1395753
2023-09-20,3410.62255859375,3428.545529732781,3385.9842748809256,3385.9842748809256,1649396
2023-09-21,3390.996826171875,3409.6291501028677,3336.8021197123207,3394.07069433771,2004073
2023-09-22,3408.352294921875,3436.821136153463,3371.844336912951,3389.767307044792,1989083
2023-09-25,3383.28857421875,3423.816438513607,3365.7911697677823,3407.2648397086377,1238778
2023-09-26,3391.375244140625,3400.123946328617,3344.3687499178695,3374.256300567167,1726062
2023-09-27,3394.7802734375,3418.141626863644,3363.0011111614867,3395.442291212087,1541134
2023-09-28,3345.077880859375,3407.5483855217467,3336.187400782379,3404.9000837191634,1755753
2023-09-29,3337.36962890625,3375.0598423503143,3315.5687643212023,3345.503418267973,2243791
2023-10-03,3323.419189453125,3342.6661953858766,3291.49824959321,3342.6661953858766,1948148
2023-10-04,3346.02392578125,3355.7184336575156,3288.8500206343624,3297.362271452547,1788138
2023-10-05,3394.82763671875,3427.5997104607286,3358.7450122585187,3361.3933142873702,2990768
2023-10-06,3425.140380859375,3437.956093195864,3381.3024289058944,3396.3879823671864,2075691
2023-10-09,3441.171875,3479.618780028991,3434.220111520866,3447.508726297345,4233074
2023-10-10,3432.23388671875,3450.2988662385983,3406.177126883669,3442.779757818924,1848148
2023-10-11,3414.263671875,3452.190570229573,3409.629316624003,3452.190570229573,2426417
2023-10-12,3350.5634765625,3394.164973601456,3346.354688073004,3381.2548202878165,4241281
2023-10-13,3377.330322265625,3383.1469348638834,3333.9650392494236,3338.694067673891,2890357
2023-10-16,3333.066650390625,3380.924280654322,3328.3849583194456,3372.743153646584,1671104
2023-10-17,3316.98779296875,3342.618987862192,3313.4883582014045,3338.6939867288806,1672065
2023-10-18,3298.2607421875,3331.7895061885492,3295.1868738350418,3320.7236263016166,1408245
2023-10-19,3276.830078125,3296.933225036673,3273.2741297100188,3289.9634735404866,1514545
2023-10-20,3313.717041015625,3318.4108463185244,3265.830272123187,3271.851538812367,1481211
2023-10-23,3233.6845703125,3298.924416859817,3225.292670958359,3293.28235834345,1106272
2023-10-25,3214.671875,3247.7658047580812,3202.439275108519,3215.0510835130726,1518537
2023-10-26,3164.082763671875,3199.1206609136366,3157.682056799983,3193.763124801465,1984471
2023-10-27,3177.5478515625,3188.0260918899003,3164.319770564128,3176.6470576535294,1108851
2023-10-30,3203.719482421875,3207.7970156852366,3161.2377114935744,3176.6468191986423,910972
2023-10-31,3194.427001953125,3223.1116525829084,3176.694718774307,3223.1116525829084,999811
2023-11-01,3158.298583984375,3197.1297273532236,3139.6655061865476,3181.3886358368673,1563475
2023-11-02,3186.224609375,3201.2542786880363,3170.1989967249133,3170.1989967249133,1245384
2023-11-03,3177.500732421875,3212.5860917360633,3171.2424018268284,3206.9914919077096,1402598
2023-11-06,3205.331787109375,3216.7582805773163,3185.18141347545,3200.3534595056994,1099852
2023-11-07,3196.0390625,3227.995140148388,3191.8193832353413,3203.1984184696917,1191144
2023-11-08,3206.564697265625,3225.9089641664814,3195.18566226346,3196.9872502026456,992899
2023-11-09,3174.2294921875,3216.0000835815804,3169.109018536068,3214.6726219703446,2112352
2023-11-10,3160.95361328125,3174.2291540075717,3150.4281448953298,3165.2682103187162,1338557
2023-11-13,3159.151611328125,3182.3363456138045,3154.8370148561166,3182.3363456138045,1030990
2023-11-15,3228.137451171875,3236.387205247155,3182.384247933324,3208.0345356358303,2059802
2023-11-16,3316.846435546875,3346.716401326636,3237.524943071945,3252.554843852836,3951984
2023-11-17,3321.208251953125,3342.117274250342,3311.820641047624,3316.8464276110644,2021292
2023-11-20,3337.470947265625,3351.0307783179896,3310.587885368086,3310.587885368086,1475621
2023-11-21,3328.5576171875,3355.9148086996975,3319.833735933763,3337.4713342459254,1807236
2023-11-22,3347.47509765625,3349.8457300587393,3300.963475125066,3318.885363485057,1798051
2023-11-23,3326.7080078125,3360.608046657878,3318.884921925105,3347.3325069701773,2729804
2023-11-24,3278.204833984375,3323.199382857698,3274.3169049175717,3313.4323327565085,1989733
2023-11-28,3290.57958984375,3301.105289257559,3255.3520884800573,3278.2050751499805,1689195
2023-11-29,3331.924072265625,3335.954147628735,3295.9379162070336,3300.86878564401,1441634
2023-11-30,3307.126953125,3334.6735150515265,3300.8683912942124,3318.3636112436993,3266235
2023-12-01,3329.93212890625,3334.9579154648036,3309.4500056304237,3318.8850754721416,1172141
2023-12-04,3330.690673828125,3364.2115046497292,3316.9884664587703,3361.224369270562,1625213
2023-12-05,3348.85009765625,3354.9188237283443,3321.540367317705,3354.9188237283443,1377656
2023-12-06,3417.598388671875,3425.8956015934377,3342.733636591101,3349.7983059413914,1896572
2023-12-07,3427.839111328125,3442.679407232964,3405.839691660572,3418.4515007803934,1967653
2023-12-08,3439.02880859375,3456.381883280356,3415.6544667870103,3445.002848273671,1641155
2023-12-11,3454.390625,3463.968072525497,3427.9344599451606,3435.4255657471917,1102503
2023-12-12,3482.07958984375,3507.018456073914,3443.1063027918103,3450.64486709552,2236866
2023-12-13,3407.594482421875,3461.1233158964483,3378.625308092889,3455.00713058484,3850968
2023-12-14,3477.480224609375,3487.673942630931,3439.8820921373363,3442.157806348635,3290396
2023-12-15,3661.2041015625,3694.345490990078,3476.9585341697716,3476.9585341697716,8531230
2023-12-18,3659.497314453125,3725.6854089978647,3631.9505231450003,3658.454375233171,2521612
2023-12-19,3618.722900390625,3655.6100794464105,3593.8787191349584,3646.032631945624,2004435
2023-12-20,3584.443359375,3697.0483893157384,3571.6419454448946,3629.2008491847714,2586083
2023-12-21,3591.5078125,3609.7142216441343,3549.642540106947,3561.874909756601,1517562
